"accelerator board | tarjeta aceleradora"
"accent mark | acento"
"acceptance test | prueba de aceptacion"
"access | acceso."
"access arm | brazo de acceso"
"access charge | cuota de acceso"
"access code | codigo de acceso"
"alphabet | alfabeto."
"alphabetic character | caracter alfabetico."
"alphabetic field | campo alfabetico."
"alphageometric | alfageometrico"
"alphameric | alfanumerico"
"barrel printer | impresora de tonel"
"base | base."
"base address | direccion de base, direccion"
"base alignment | alineacion de base"
"base register | registro de base, registro"
"bit block | bloque de bits"
"bit bucket | cubo de bits"
"bit density | densidad de bits."
"bit field | campo de bits"
"bit manipulation | manipulacion de bits"
"bit map | mapa de bits"
"bit parallel | bits en paralelo"
"bit pattern | patron de bits"
